identifier1	identifier2	lemma	mean_disagreement_cleaned	judgments
haller_anfangsgruende08_1776-15186-32	swedenborg_schriften01_1776-1115-26	Abend	0.4	[4, 4, 4, 3, 4]
berg_ostasienzoologie01_1876-565-1	schauberg_freimaurerei01_1861-1913-13	Abend	0.0	[4, 4, 4, 4, 4]
hirschfeld_gartenkunst4_1782-3325-24	moritz_reiser03_1786-958-22	Abend	0.8	[4, 4, 4, 2, 4]
hirschfeld_gartenkunst2_1780-2602-1	zachariae_schriften03_1764-1283-6	Abend	0.6	[3, 4, 4, 3, 3]
hippel_lebenslaeufe02_1779-3979-1	schoenaich_aesthetik_1754-2137-9	Abend	0.6	[4, 3, 3, 3, 4]
ebers_koenigstochter01_1864-1789-7	holtei_vagabunden01_1852-284-1	Abend	0.0	[4, 4, 4, 4, 4]
ebers_koenigstochter02_1864-1188-2	lasswitz_planeten01_1897-3389-4	Abend	0.0	[4, 4, 4, 4, 4]
hippel_lebenslaeufe01_1778-2332-8	parthey_jugenderinnerungen02_1871-2386-1	Abend	0.0	[4, 4, 4, 4, 4]
humboldt_aequinoktial03_1859-1368-1	zachariae_schriften04_1764-585-12	Abend	0.8	[4, 2, 4, 4, 4]
bauer_buehnenleben_1871-4741-6	spielhagen_problematische04_1861-231-3	Abend	0.0	[4, 4, 4, 4, 4]
andreas_fenitschka_1898-1404-5	thunberg_reisen01_1792-144-22	Abend	0.0	[4, 4, 4, 4, 4]
hc_1152107_1789-162-1	musaeus_grandison02_1761-1746-19	Abend	0.4	[4, 3, 4, 4, 4]
forster_reise02_1780-6343-18	goethe_lehrjahre03_1795-658-35	Abend	0.0	[4, 4, 4, 4, 4]
alexis_ruhe04_1852-2389-10	semper_philippinen_1869-95-10	Abend	0.4	[4, 3, 4, 4, 4]
hauptmann_biberpelz_1893-1626-5	michelis_reiseschule_1869-2425-3	Abend	0.4	[4, 3, 4, 4, 4]
alexis_ruhe02_1852-4133-49	moritz_erfahrungsseelenkunde0201_1784-39-27	Abend	0.4	[4, 4, 4, 3, 4]
alexis_ruhe02_1852-3263-2	musaeus_grandison02_1761-1746-19	Abend	0.4	[3, 4, 3, 3, 3]
keller_heinrich04_1855-729-17	schaumann_psyche01_1791-1745-1	Abend	0.0	[4, 4, 4, 4, 4]
berg_ostasien01_1864-3526-1	swedenborg_schriften01_1776-1117-55	Abend	1.2	[3, 2, 4, 2, 4]
berg_ostasien01_1864-3603-12	nietzsche_zarathustra03_1884-276-3	Abend	1.2	[4, 2, 3, 2, 4]
berg_ostasien02_1866-3524-35	moeser_phantasien01_1775-1541-13	Abend	0.4	[4, 4, 4, 3, 4]
kosegarten_poesieen02_1798-385-3	musaeus_grandison02_1761-1746-19	Abend	0.6	[3, 4, 3, 3, 4]
berg_ostasien03_1873-5496-2	michelis_reiseschule_1869-525-23	Abend	0.0	[4, 4, 4, 4, 4]
berg_ostasien04_1873-3479-1	musaeus_grandison02_1761-1746-19	Abend	0.0	[4, 4, 4, 4, 4]
hauptmann_biberpelz_1893-385-4	spiess_biographien02_1796-306-20	Abend	0.0	[4, 4, 4, 4, 4]
conradi_adam_1889-2885-23	hufeland_leben_1797-3137-30	Abend	0.4	[4, 4, 4, 3, 4]
sander_beschreibung01_1783-6801-2	storm_schimmelreiter_1888-1111-9	Abend	0.0	[4, 4, 4, 4, 4]
richardson_clarissa05_1750-8230-14	sulzer_theorie02_1774-9043-22	Abend	0.4	[4, 4, 4, 3, 4]
brehm_thierleben02_1865-11132-26	fontane_stechlin_1899-5451-4	Abend	0.0	[4, 4, 4, 4, 4]
rosegger_waldschulmeister_1875-2046-18	tieck_lovell01_1795-276-2	Abend	0.0	[4, 4, 4, 4, 4]
moritz_erfahrungsseelenkunde0802_1791-685-31	spielhagen_problematische02_1861-611-6	Abend	0.4	[4, 4, 4, 3, 4]
fuechsel_entwurf_1773-1161-29	keller_heinrich04_1855-1677-20	Abend	1.4	[3, 1, 4, 3, 4]
brehm_thierleben03_1866-10770-20	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 4, 3, 3, 4]
ganswindt_faerberei_1889-10264-7	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 4, 3, 3, 4]
brehm_thierleben04_1867-12920-26	kaempfer_japan02_1779-389-43	Abend	0.0	[4, 4, 4, 4, 4]
milton_paradies01_1760-226-42	pahl_bertha_1794-168-0	Abend	0.0	[4, 4, 4, 4, 4]
moerike_mozart_1856-286-40	thunberg_reisen01_1792-3557-1	Abend	0.4	[4, 4, 4, 3, 4]
moritz_erfahrungsseelenkunde0501_1787-9-70	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 4, 4, 3, 3]
moritz_erfahrungsseelenkunde0501_1787-171-30	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 4, 3, 3, 4]
brehm_thierleben04_1867-8028-3	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 4, 3, 3, 4]
brehm_thierleben06_1869-1647-3	spielhagen_problematische02_1861-920-7	Abend	0.6	[4, 3, 4, 3, 4]
bruce_reisen_1784-2904-24	moritz_erfahrungsseelenkunde0401_1786-858-55	Abend	0.4	[4, 3, 4, 4, 4]
moritz_erfahrungsseelenkunde01003_1793-349-2	richardson_clarissa07_1751-7827-1	Abend	0.0	[4, 4, 4, 4, 4]
brehm_thierleben06_1869-8761-53	scheffel_ekkehard_1855-1046-1	Abend	0.4	[4, 4, 4, 3, 4]
goethe_goetz_1773-221-4	pestalozzi_lienhard04_1787-2481-22	Abend	0.6	[4, 4, 3, 3, 4]
brehm_thierleben01_1864-13588-12	francois_reckenburgerin02_1871-1386-3	Abend	0.0	[4, 4, 4, 4, 4]
miller_siegwart02_1776-7430-8	spielhagen_problematische02_1861-1498-1	Abend	0.0	[4, 4, 4, 4, 4]
brehm_thierleben02_1865-17570-22	kurz_sonnenwirth_1855-7996-1	Abend	0.0	[4, 4, 4, 4, 4]
holtei_vagabunden02_1852-396-1	musaeus_grandison02_1761-1746-19	Abend	0.6	[4, 3, 3, 4, 4]
blumenbach_menschengeschlecht2_1798-958-61	laukhard_leben01_1792-2675-3	Abend	1.0	[4, 2, 4, 3, 4]
meissner_krimi_1796-1767-12	pfeiffer_frauenfahrt01_1850-104-1	Abend	0.4	[4, 3, 4, 4, 4]
burckhardt_renaissance_1860-4016-1	keller_heinrich02_1854-888-37	Abend	0.0	[4, 4, 4, 4, 4]
richardson_clarissa07_1751-2506-2	swedenborg_schriften03_1776-407-56	Abend	1.0	[4, 2, 4, 3, 4]
campe_robinson02_1780-1819-13	retif_mensch_1785-1800-23	Abend	0.0	[4, 4, 4, 4, 4]
cancrin_beschreibung_1767-4969-27	laroche_geschichte01_1771-2078-5	Abend	0.6	[4, 3, 4, 3, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik01_1882-18180-43	Abgesang	1.0	[3, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1979_12_19_01_098.tcf.xml-26-9	Abgesang	1.0476190476190477	[2, 2, 3, 4, 4, 2, 2, 0]
2532889X_1950-06-06_01_033.tcf.xml-51-23	wilamowitz_aristoteles02_1893-1605-94	Abgesang	0.0	[2, 2]
2532889X_1985-04-13_01_060.tcf.xml-46-40	grimm_meistergesang_1811-475-24	Abgesang	0.0	[2, 2, 2, 2]
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-702-32	Abgesang	0.0	[2, 2]
2532889X_1950-06-06_01_033.tcf.xml-51-23	grimm_meistergesang_1811-1748-43	Abgesang	0.0	[2, 2]
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17923-12	Abgesang	0.0	[2, 2]
grimm_meistergesang_1811-381-26	grimm_meistergesang_1811-705-105	Abgesang	0.0	[4, 4]
2532889X_1950-06-06_01_033.tcf.xml-51-23	beyer_poetik01_1882-17005-6	Abgesang	0.0	[2, 2]
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1989_05_26_01_048.tcf.xml-10-3	Abgesang	1.0	[3, 2]
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang	0.0	[4, 4]
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1985_06_18_01_080.tcf.xml-16-19	Abgesang	1.0	[3, 2]
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik03_1884-2034-4	Abgesang	1.0	[4, 3]
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1962_01_17_01_314.tcf.xml-18-19	Abgesang	2.0	[3, 1]
grimm_meistergesang_1811-1530-18	grimm_meistergesang_1811-705-60	Abgesang	0.0	[4, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1975_06_07_01_379.tcf.xml-1-19	Abgesang	1.0	[2, 1, 2, 3]
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1605-313	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-1748-43	grimm_meistergesang_1811-702-32	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-385-48	wilamowitz_aristoteles02_1893-1615-168	Abgesang	0.0	[4, 4]
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1957_05_16_01_256.tcf.xml-27-15	Abgesang	1.0	[3, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik03_1884-2876-49	Abgesang	0.6666666666666666	[4, 3, 3]
2532889X_1950-06-06_01_033.tcf.xml-51-23	26120215_1952_03_16_01_388.tcf.xml-7-16	Abgesang	1.3333333333333333	[3, 2, 1]
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1990-10-01_01_102.tcf.xml-13-1	Abgesang	0.0	[4, 4]
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1961-03-30_01_045.tcf.xml-6-9	Abgesang	1.0	[2, 3]
2532889X_1950-06-06_01_033.tcf.xml-51-23	2532889X_1952-07-03_01_121.tcf.xml-66-12	Abgesang	0.0	[4, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	beyer_poetik01_1882-15106-33	Abgesang	1.4	[2, 2, 4, 3, 1]
grimm_meistergesang_1811-385-48	grimm_meistergesang_1811-555-29	Abgesang	0.0	[4, 4]
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1967_04_23_01_072.tcf.xml-31-25	Abgesang	1.5	[2, 2, 1, 4, 0]
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang	1.0	[2, 1]
2532889X_1960-11-10_01_118.tcf.xml-12-1	26120215_1957_09_05_01_242.tcf.xml-27-1	Abgesang	1.0	[2, 3, 1, 3, 2]
2532889X_1981-04-01_01_117.tcf.xml-19-25	grimm_meistergesang_1811-705-35	Abgesang	0.0	[2, 2]
2532889X_1981-04-01_01_117.tcf.xml-19-25	grimm_meistergesang_1811-707-36	Abgesang	0.0	[2, 2, 2]
2532889X_1981-04-01_01_117.tcf.xml-19-25	wilamowitz_aristoteles02_1893-1605-94	Abgesang	0.0	[2, 2]
grimm_meistergesang_1811-384-1	grimm_meistergesang_1811-710-26	Abgesang	0.6666666666666666	[3, 4, 4]
gottschall_poetik_1858-3887-10	grimm_meistergesang_1811-1252-23	Abgesang	1.0	[3, 4]
gottschall_poetik_1858-3887-10	grimm_meistergesang_1811-1748-43	Abgesang	0.0	[4, 4]
2532889X_1987-12-15_01_094.tcf.xml-36-10	wilamowitz_aristoteles02_1893-1605-313	Abgesang	1.3333333333333333	[4, 4, 2]
2532889X_1987-12-15_01_094.tcf.xml-36-10	grimm_meistergesang_1811-705-35	Abgesang	1.0	[2, 1]
2532889X_1987-12-15_01_094.tcf.xml-36-10	grimm_meistergesang_1811-433-16	Abgesang	1.1666666666666667	[2, 4, 2, 3]
2532889X_1987-12-15_01_094.tcf.xml-36-10	grimm_meistergesang_1811-2157-70	Abgesang	1.6	[2, 4, 0, 1, 4, 2]
2532889X_1987-12-15_01_094.tcf.xml-36-10	grimm_meistergesang_1811-2062-12	Abgesang	1.0	[0, 3, 2]
gottschall_poetik_1858-3887-10	wilamowitz_aristoteles02_1893-1605-313	Abgesang	0.0	[4, 4]
2532889X_1987-12-15_01_094.tcf.xml-36-10	grimm_meistergesang_1811-1974-30	Abgesang	2.0	[4, 2]
2532889X_1987-12-15_01_094.tcf.xml-36-10	beyer_poetik01_1882-17319-30	Abgesang	1.3333333333333333	[2, 4, 3]
grimm_meistergesang_1811-1974-30	grimm_meistergesang_1811-2157-70	Abgesang	1.0	[0, 3, 4]
2532889X_1987-12-15_01_094.tcf.xml-36-10	beyer_poetik01_1882-17292-19	Abgesang	1.0	[2, 1, 3, 2]
2532889X_1987-12-15_01_094.tcf.xml-36-10	26120215_1979_12_19_01_098.tcf.xml-26-9	Abgesang	0.6666666666666666	[3, 4, 3]
2532889X_1987-12-15_01_094.tcf.xml-36-10	26120215_1955_07_06_01_015.tcf.xml-5-14	Abgesang	1.3333333333333333	[3, 3, 1]
26120215_1958_03_23_02_304.tcf.xml-30-18	grimm_meistergesang_1811-381-26	Abgesang	0.6666666666666666	[2, 2, 1]
2532889X_1987-12-15_01_094.tcf.xml-36-10	26120215_1955_03_10_01_234.tcf.xml-14-16	Abgesang	1.3333333333333333	[2, 1, 3]
2532889X_1987-11-14_01_073.tcf.xml-17-30	vischer_poetik_1857-2436-35	Abgesang	0.0	[2, 2]
2532889X_1987-11-14_01_073.tcf.xml-17-30	grimm_meistergesang_1811-385-48	Abgesang	0.0	[2, 2, 2]
2532889X_1987-11-14_01_073.tcf.xml-17-30	beyer_poetik03_1884-2036-5	Abgesang	0.0	[1, 1]
2532889X_1987-11-14_01_073.tcf.xml-17-30	beyer_poetik01_1882-19724-21	Abgesang	0.0	[2, 2]
grimm_meistergesang_1811-381-26	grimm_meistergesang_1811-705-35	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-1530-18	grimm_meistergesang_1811-2157-70	Abgesang	0.0	[4, 4]
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1989_10_21_01_225.tcf.xml-11-1	Abgesang	2.0	[2, 4]
26120215_1958_03_23_02_304.tcf.xml-30-18	26120215_1987_01_17_01_130.tcf.xml-17-20	Abgesang	1.1666666666666667	[3, 2, 3, 1]
2532889X_1960-11-10_01_118.tcf.xml-12-1	2532889X_1987-12-15_01_094.tcf.xml-36-10	Abgesang	0.6666666666666666	[2, 3, 3]
2532889X_1960-11-10_01_118.tcf.xml-12-1	2532889X_1989-08-11_01_133.tcf.xml-36-9	Abgesang	2.0	[2, 0, 1, 4, 0]
grimm_meistergesang_1811-1525-24	grimm_meistergesang_1811-702-32	Abgesang	0.0	[2, 2]
2532889X_1985-04-13_01_060.tcf.xml-46-40	beyer_poetik01_1882-17923-12	Abgesang	0.6666666666666666	[3, 2, 2]
26120215_1958_01_16_01_281.tcf.xml-9-2	grimm_meistergesang_1811-707-36	Abgesang	1.3333333333333333	[2, 3, 1]
grimm_meistergesang_1811-433-16	grimm_meistergesang_1811-702-55	Abgesang	0.0	[4, 4, 4]
2532889X_1984-05-10_01_074.tcf.xml-23-31	26120215_1954_07_22_01_073.tcf.xml-7-14	Abgesang	1.3333333333333333	[3, 2, 1]
grimm_meistergesang_1811-1993-16	grimm_meistergesang_1811-433-16	Abgesang	0.0	[4, 4]
26120215_1979_12_19_01_098.tcf.xml-26-9	grimm_meistergesang_1811-705-105	Abgesang	0.0	[2, 2]
26120215_1979_12_19_01_098.tcf.xml-26-9	grimm_meistergesang_1811-433-16	Abgesang	1.0	[3, 4]
26120215_1979_12_19_01_098.tcf.xml-26-9	grimm_meistergesang_1811-385-48	Abgesang	1.3333333333333333	[3, 1, 2]
26120215_1979_12_19_01_098.tcf.xml-26-9	grimm_meistergesang_1811-2157-70	Abgesang	1.2	[2, 2, 4, 2, 3, 1]
26120215_1957_09_05_01_242.tcf.xml-27-1	26120215_1961_01_05_01_106.tcf.xml-25-20	Abgesang	1.1666666666666667	[2, 1, 3, 1]
grimm_meistergesang_1811-1993-16	grimm_meistergesang_1811-489-9	Abgesang	0.0	[4, 4]
26120215_1957_09_05_01_242.tcf.xml-27-1	26120215_1965_08_29_01_224.tcf.xml-12-15	Abgesang	0.6666666666666666	[3, 2, 3]
grimm_meistergesang_1811-1993-54	grimm_meistergesang_1811-384-1	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-2067-37	grimm_meistergesang_1811-555-29	Abgesang	0.0	[4, 4]
26120215_1957_09_05_01_242.tcf.xml-27-1	26120215_1985_09_26_01_090.tcf.xml-33-14	Abgesang	1.3333333333333333	[3, 3, 1]
grimm_meistergesang_1811-433-16	grimm_meistergesang_1811-681-55	Abgesang	1.0	[4, 4, 4, 2]
26120215_1957_09_05_01_242.tcf.xml-27-1	beyer_poetik01_1882-15790-28	Abgesang	1.0	[3, 4]
2532889X_1984-05-10_01_074.tcf.xml-23-31	26120215_1955_07_06_01_015.tcf.xml-5-14	Abgesang	1.0	[2, 1]
26120215_1957_09_05_01_242.tcf.xml-27-1	beyer_poetik01_1882-17299-37	Abgesang	1.3333333333333333	[3, 1, 3]
26120215_1979_12_19_01_098.tcf.xml-26-9	grimm_meistergesang_1811-1974-30	Abgesang	0.6	[2, 2, 2, 1, 1]
26120215_1979_12_19_01_098.tcf.xml-26-9	beyer_poetik01_1882-18180-43	Abgesang	1.0	[2, 1, 3, 2]
grimm_meistergesang_1811-757-20	wilamowitz_aristoteles02_1893-1605-361	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-707-36	wilamowitz_aristoteles02_1893-1605-94	Abgesang	1.0	[4, 3]
26120215_1979_12_19_01_098.tcf.xml-26-9	beyer_poetik01_1882-17247-77	Abgesang	0.6666666666666666	[3, 3, 2]
grimm_meistergesang_1811-705-60	wilamowitz_aristoteles02_1893-1614-163	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-705-35	wilamowitz_aristoteles02_1893-1605-361	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-705-105	grimm_meistergesang_1811-705-35	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-702-55	grimm_meistergesang_1811-705-60	Abgesang	0.0	[4, 4, 4]
grimm_meistergesang_1811-453-64	vischer_poetik_1857-2436-35	Abgesang	0.0	[4, 4]
26120215_1958_01_16_01_281.tcf.xml-9-2	26120215_1962_10_21_01_158.tcf.xml-51-15	Abgesang	0.0	[4, 4]
26120215_1958_01_16_01_281.tcf.xml-9-2	26120215_1964_08_02_01_129.tcf.xml-29-30	Abgesang	0.0	[4, 4]
26120215_1958_01_16_01_281.tcf.xml-9-2	26120215_1985_06_18_01_080.tcf.xml-16-19	Abgesang	1.0	[2, 1]
26120215_1958_01_16_01_281.tcf.xml-9-2	26120215_1987_01_17_01_130.tcf.xml-17-20	Abgesang	0.0	[2, 2]
grimm_meistergesang_1811-2067-37	grimm_meistergesang_1811-702-55	Abgesang	0.0	[4, 4]
2532889X_1985-04-13_01_060.tcf.xml-46-40	26120215_1989_10_21_01_225.tcf.xml-11-1	Abgesang	2.0	[3, 1]
grimm_meistergesang_1811-1974-30	wilamowitz_aristoteles02_1893-1615-168	Abgesang	0.6666666666666666	[3, 4, 4]
26120215_1957_05_16_01_256.tcf.xml-27-15	wilamowitz_aristoteles02_1893-1605-361	Abgesang	0.0	[2, 2]
2532889X_1985-04-13_01_060.tcf.xml-46-40	26120215_1952_03_16_01_388.tcf.xml-7-16	Abgesang	2.0	[3, 1]
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1962-08-04_01_020.tcf.xml-27-2	Abgesang	0.0	[3, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1973-10-26_01_046.tcf.xml-10-22	Abgesang	0.0	[4, 4]
grimm_meistergesang_1811-2067-37	wilamowitz_aristoteles02_1893-1605-362	Abgesang	1.0	[4, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1981-04-01_01_117.tcf.xml-19-25	Abgesang	0.0	[3, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	2532889X_1985-04-13_01_060.tcf.xml-46-40	Abgesang	1.0	[2, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	26120215_1987_01_17_01_130.tcf.xml-17-20	Abgesang	0.0	[3, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	beyer_poetik01_1882-17005-6	Abgesang	1.0	[2, 3]
2532889X_1961-03-30_01_045.tcf.xml-6-9	beyer_poetik01_1882-17040-22	Abgesang	0.6666666666666666	[2, 3, 2]
grimm_meistergesang_1811-381-26	wilamowitz_aristoteles02_1893-1605-94	Abgesang	1.0	[3, 4]
2532889X_1961-03-30_01_045.tcf.xml-6-9	beyer_poetik01_1882-17923-12	Abgesang	0.6666666666666666	[2, 2, 1]
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-1748-43	Abgesang	1.0	[2, 1]
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-2157-70	Abgesang	0.0	[2, 2]
2532889X_1961-03-30_01_045.tcf.xml-6-9	grimm_meistergesang_1811-475-24	Abgesang	0.0	[3, 3]
2532889X_1984-05-10_01_074.tcf.xml-23-31	26120215_1962_01_17_01_314.tcf.xml-18-19	Abgesang	1.0	[3, 4]
2532889X_1961-03-30_01_045.tcf.xml-6-9	wilamowitz_aristoteles02_1893-1605-361	Abgesang	0.0	[2, 2]
grimm_meistergesang_1811-1974-30	grimm_meistergesang_1811-705-60	Abgesang	0.0	[4, 4]
2532889X_1984-06-09_01_343.tcf.xml-24-15	beyer_poetik01_1882-17039-17	Abgesang	0.6666666666666666	[2, 3, 2]
2532889X_1984-06-09_01_343.tcf.xml-24-15	26120215_1947_02_18_01_055.tcf.xml-24-52	Abgesang	0.0	[4, 4]
2532889X_1984-06-09_01_343.tcf.xml-24-15	2532889X_1988-11-11_01_091.tcf.xml-4-24	Abgesang	0.0	[4, 4]
26120215_1957_05_16_01_256.tcf.xml-27-15	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang	0.0	[4, 4, 4, 4]
2532889X_1984-05-10_01_074.tcf.xml-23-31	wilamowitz_aristoteles02_1893-1614-163	Abgesang	2.0	[2, 4]
2532889X_1984-05-10_01_074.tcf.xml-23-31	grimm_meistergesang_1811-1748-43	Abgesang	0.0	[2, 2]
2532889X_1984-05-10_01_074.tcf.xml-23-31	beyer_poetik03_1884-4074-23	Abgesang	1.0	[2, 1]
grimm_meistergesang_1811-1974-30	vischer_poetik_1857-2423-19	Abgesang	0.0	[4, 4]
2532889X_1984-05-10_01_074.tcf.xml-23-31	26120215_1964_02_04_01_177.tcf.xml-12-13	Abgesang	1.0	[3, 4]
26120215_1957_05_16_01_256.tcf.xml-27-15	26120215_1982_08_17_01_073.tcf.xml-13-1	Abgesang	0.6666666666666666	[3, 3, 4]
26120215_1957_05_16_01_256.tcf.xml-27-15	26120215_1989_10_21_01_225.tcf.xml-11-1	Abgesang	1.0	[2, 0, 1]
26120215_1948_08_31_01_041.tcf.xml-2-21	grimm_meistergesang_1811-757-20	Abgesang	0.0	[2, 2]
26120215_1957_05_16_01_256.tcf.xml-27-15	grimm_meistergesang_1811-702-32	Abgesang	0.0	[2, 2]
2532889X_1984-06-09_01_343.tcf.xml-24-15	beyer_poetik01_1882-17041-6	Abgesang	1.0	[2, 1]
2532889X_1985-04-13_01_060.tcf.xml-46-40	26120215_1967_04_23_01_072.tcf.xml-31-25	Abgesang	1.0	[2, 1]
2532889X_1966-11-28_01_141.tcf.xml-12-1	2532889X_1989-02-16_01_153.tcf.xml-5-20	Abgesang	0.0	[3, 3]
26120215_1956_07_22_02_192.tcf.xml-7-0	grimm_meistergesang_1811-478-13	Abgesang	2.0	[3, 1]
2532889X_1990-10-01_01_102.tcf.xml-13-1	grimm_meistergesang_1811-536-11	Abgesang	1.0	[0, 2, 1]
26120215_1951_07_03_01_194.tcf.xml-25-6	vischer_poetik_1857-2436-35	Abgesang	0.0	[2, 2]
26120215_1951_07_03_01_194.tcf.xml-25-6	grimm_meistergesang_1811-384-1	Abgesang	1.4	[2, 2, 1, 1, 4]
26120215_1951_07_03_01_194.tcf.xml-25-6	grimm_meistergesang_1811-1974-30	Abgesang	1.3333333333333333	[2, 3, 1]
26120215_1951_07_03_01_194.tcf.xml-25-6	grimm_meistergesang_1811-1525-24	Abgesang	0.0	[0, 2, 2, 2]
26120215_1951_07_03_01_194.tcf.xml-25-6	beyer_poetik01_1882-17319-30	Abgesang	1.1666666666666667	[2, 3, 3, 1]
26120215_1951_07_03_01_194.tcf.xml-25-6	beyer_poetik01_1882-17005-6	Abgesang	1.0	[1, 2]
26120215_1951_09_02_01_034.tcf.xml-3-22	26120215_1952_03_16_01_388.tcf.xml-7-16	Abgesang	2.0	[3, 1]
