identifier1	identifier2	lemma	median_cleaned	judgments
1966-5-12	1966-5-12	下海	4.0	[4, 4]
1966-5-12	1972-44-12	下海	4.0	[4, 4]
1966-5-12	1986-60-12	下海	3.0	[3, 3]
1966-5-12	1988-89-12	下海	2.0	[2, 2]
1980-88-12	2000-63-12	下海	3.0	[3, 3]
1980-88-12	1999-81-12	下海	2.0	[2, 2]
1980-88-12	1998-79-12	下海	2.0	[2, 2]
1980-88-12	1996-84-12	下海	4.0	[4, 4]
1966-5-12	1993-92-12	下海	2.0	[2, 2]
1966-5-12	1994-64-12	下海	2.0	[2, 2]
1966-5-12	1994-73-12	下海	3.0	[3, 3]
1966-5-12	1994-83-12	下海	4.0	[4, 4]
1966-5-12	1996-69-12	下海	4.0	[4, 4]
1966-5-12	1996-70-12	下海	2.0	[2, 2]
1966-5-12	1996-84-12	下海	3.0	[3, 3]
1966-14-12	1996-70-12	下海	2.0	[2, 2]
1966-5-12	2000-63-12	下海	3.0	[3, 3]
1954-48-12	1958-26-12	下海	4.0	[4, 4]
1954-48-12	1959-13-12	下海	4.0	[4, 4]
1954-48-12	1960-47-12	下海	3.0	[3, 3]
1954-48-12	1961-42-12	下海	4.0	[4, 4]
1955-22-12	1961-42-12	下海	4.0	[4, 4]
1955-22-12	1961-34-12	下海	3.0	[3, 3]
1955-22-12	1960-47-12	下海	3.0	[3, 3]
1955-22-12	1959-13-12	下海	4.0	[4, 4]
1954-48-12	2003-96-12	下海	2.0	[2, 2]
1954-48-12	2000-63-12	下海	4.0	[4, 4]
1954-48-12	1999-81-12	下海	2.0	[2, 2]
1954-48-12	1998-79-12	下海	2.0	[2, 2]
1954-48-12	1996-70-12	下海	2.0	[2, 2]
1954-48-12	1996-69-12	下海	3.0	[3, 3]
1954-48-12	1994-83-12	下海	3.0	[3, 3]
1955-22-12	1965-19-12	下海	3.0	[3, 3]
1954-48-12	1994-73-12	下海	4.0	[4, 4]
1954-48-12	1993-92-12	下海	2.0	[2, 2]
1954-48-12	1993-71-12	下海	2.0	[2, 2]
1954-48-12	1988-89-12	下海	2.0	[2, 2]
1954-48-12	1987-90-12	下海	3.0	[3, 3]
1954-48-12	1986-60-12	下海	4.0	[4, 4]
1954-48-12	1980-88-12	下海	3.0	[3, 3]
1954-48-12	1972-44-12	下海	3.0	[3, 3]
1954-48-12	1966-5-12	下海	3.0	[3, 3]
1954-48-12	1966-14-12	下海	3.0	[3, 3]
1954-48-12	1965-19-12	下海	3.0	[3, 3]
1954-48-12	1961-49-12	下海	4.0	[4, 4]
1954-48-12	1994-64-12	下海	2.0	[2, 2]
1958-4-12	1994-82-12	下海	2.0	[2, 2]
1955-22-12	1994-64-12	下海	2.0	[2, 2]
1994-64-12	1996-70-12	下海	4.0	[4, 4]
1958-4-12	1965-19-12	下海	3.0	[3, 3]
1958-4-12	1961-49-12	下海	4.0	[4, 4]
1958-4-12	1961-34-12	下海	3.0	[3, 3]
1958-4-12	1960-47-12	下海	3.0	[3, 3]
1958-4-12	1959-13-12	下海	4.0	[4, 4]
1994-53-12	2003-96-12	下海	4.0	[4, 4]
1994-53-12	2000-63-12	下海	2.0	[2, 2]
1994-53-12	1999-81-12	下海	4.0	[4, 4]
1994-53-12	1996-70-12	下海	4.0	[4, 4]
1958-4-12	1966-14-12	下海	3.0	[3, 3]
1994-53-12	1994-83-12	下海	2.0	[2, 2]
1994-53-12	1994-73-12	下海	2.0	[2, 2]
1994-53-12	1994-64-12	下海	4.0	[4, 4]
1977-29-12	1993-92-12	下海	2.0	[2, 2]
1977-29-12	1993-71-12	下海	2.0	[2, 2]
1977-29-12	1988-89-12	下海	2.0	[2, 2]
1961-42-12	1994-82-12	下海	2.0	[2, 2]
1961-42-12	1994-73-12	下海	4.0	[4, 4]
1980-88-12	1994-73-12	下海	3.0	[3, 3]
1980-88-12	1994-64-12	下海	2.0	[2, 2]
1994-53-12	1994-82-12	下海	4.0	[4, 4]
1958-4-12	1966-5-12	下海	3.0	[3, 3]
1958-4-12	1972-44-12	下海	3.0	[3, 3]
1958-4-12	1980-88-12	下海	3.0	[3, 3]
1994-64-12	2000-63-12	下海	2.0	[2, 2]
1994-64-12	1999-81-12	下海	4.0	[4, 4]
1994-64-12	1998-79-12	下海	4.0	[4, 4]
1958-2-12	1959-13-12	下海	4.0	[4, 4]
1994-64-12	1994-83-12	下海	2.0	[2, 2]
1994-64-12	1994-82-12	下海	4.0	[4, 4]
1994-64-12	1994-73-12	下海	2.0	[2, 2]
1958-26-12	1994-53-12	下海	2.0	[2, 2]
1958-4-12	1994-53-12	下海	2.0	[2, 2]
1958-4-12	1988-89-12	下海	2.0	[2, 2]
1958-4-12	1987-90-12	下海	3.0	[3, 3]
1958-4-12	1986-60-12	下海	4.0	[4, 4]
1958-26-12	1994-64-12	下海	2.0	[2, 2]
1980-88-12	1996-70-12	下海	2.0	[2, 2]
1977-29-12	2003-96-12	下海	2.0	[2, 2]
1977-29-12	1998-79-12	下海	2.0	[2, 2]
1977-29-12	1996-70-12	下海	2.0	[2, 2]
1980-88-12	1996-69-12	下海	4.0	[4, 4]
1980-88-12	1994-83-12	下海	4.0	[4, 4]
1961-42-12	1996-69-12	下海	3.0	[3, 3]
1961-42-12	1994-83-12	下海	3.0	[3, 3]
1961-42-12	1994-53-12	下海	2.0	[2, 2]
1994-64-12	2003-96-12	下海	4.0	[4, 4]
1993-92-12	2003-96-12	下海	4.0	[4, 4]
1993-92-12	1999-81-12	下海	4.0	[4, 4]
1980-88-12	1988-89-12	下海	2.0	[2, 2]
1965-19-12	2003-96-12	下海	2.0	[2, 2]
1958-2-12	1961-49-12	下海	4.0	[4, 4]
1958-2-12	1961-42-12	下海	4.0	[4, 4]
1958-2-12	1961-34-12	下海	3.0	[3, 3]
1980-88-12	1987-90-12	下海	4.0	[4, 4]
1980-88-12	1986-60-12	下海	3.0	[3, 3]
1988-80-12	1994-82-12	下海	4.0	[4, 4]
1988-80-12	1994-64-12	下海	4.0	[4, 4]
1980-88-12	1993-71-12	下海	2.0	[2, 2]
1958-26-12	2003-96-12	下海	2.0	[2, 2]
1965-19-12	1994-73-12	下海	3.0	[3, 3]
1965-19-12	1994-82-12	下海	2.0	[2, 2]
1965-19-12	1994-83-12	下海	4.0	[4, 4]
1965-19-12	1996-69-12	下海	4.0	[4, 4]
1958-2-12	1999-81-12	下海	2.0	[2, 2]
1965-19-12	1998-79-12	下海	2.0	[2, 2]
1965-19-12	2000-63-12	下海	3.0	[3, 3]
1958-2-12	1958-26-12	下海	4.0	[4, 4]
1958-2-12	1958-4-12	下海	4.0	[4, 4]
1965-19-12	1993-92-12	下海	2.0	[2, 2]
1958-2-12	2000-63-12	下海	4.0	[4, 4]
1993-92-12	1994-64-12	下海	4.0	[4, 4]
1993-92-12	1994-73-12	下海	2.0	[2, 2]
1993-92-12	1996-70-12	下海	4.0	[4, 4]
1961-34-12	2000-63-12	下海	3.0	[3, 3]
1961-34-12	1999-81-12	下海	2.0	[2, 2]
1961-34-12	1998-79-12	下海	2.0	[2, 2]
1961-34-12	1994-82-12	下海	2.0	[2, 2]
1961-34-12	1994-73-12	下海	3.0	[3, 3]
1961-34-12	1994-64-12	下海	2.0	[2, 2]
1961-34-12	1993-92-12	下海	2.0	[2, 2]
1961-34-12	1988-89-12	下海	2.0	[2, 2]
1961-34-12	1977-29-12	下海	3.0	[3, 3]
1961-34-12	1961-42-12	下海	4.0	[4, 4]
1958-26-12	1994-73-12	下海	4.0	[4, 4]
1958-26-12	1994-82-12	下海	2.0	[2, 2]
1958-26-12	1994-83-12	下海	3.0	[3, 3]
1958-26-12	1996-69-12	下海	3.0	[3, 3]
1958-26-12	1996-70-12	下海	2.0	[2, 2]
1958-26-12	2000-63-12	下海	4.0	[4, 4]
1993-92-12	1994-83-12	下海	2.0	[2, 2]
1993-92-12	1994-82-12	下海	4.0	[4, 4]
1980-88-12	1993-92-12	下海	2.0	[2, 2]
1958-2-12	2003-96-12	下海	2.0	[2, 2]
1993-92-12	2000-63-12	下海	2.0	[2, 2]
1996-69-12	1996-70-12	下海	2.0	[2, 2]
1958-2-12	1960-47-12	下海	3.0	[3, 3]
1972-44-12	1977-29-12	下海	4.0	[4, 4]
1965-19-12	1988-89-12	下海	2.0	[2, 2]
1961-42-12	2003-96-12	下海	2.0	[2, 2]
1958-26-12	1965-19-12	下海	3.0	[3, 3]
1958-26-12	1972-44-12	下海	3.0	[3, 3]
1996-69-12	1996-84-12	下海	4.0	[4, 4]
1972-44-12	1986-60-12	下海	3.0	[3, 3]
1972-44-12	1988-89-12	下海	2.0	[2, 2]
1965-19-12	1987-90-12	下海	4.0	[4, 4]
1972-44-12	1993-92-12	下海	2.0	[2, 2]
1972-44-12	1994-64-12	下海	2.0	[2, 2]
1972-44-12	1994-73-12	下海	3.0	[3, 3]
1972-44-12	1994-82-12	下海	2.0	[2, 2]
1972-44-12	1994-83-12	下海	4.0	[4, 4]
1972-44-12	1996-69-12	下海	4.0	[4, 4]
1972-44-12	1996-70-12	下海	2.0	[2, 2]
1972-44-12	1998-79-12	下海	2.0	[2, 2]
1972-44-12	1994-53-12	下海	2.0	[2, 2]
1965-19-12	1986-60-12	下海	3.0	[3, 3]
1960-47-12	1996-69-12	下海	4.0	[4, 4]
1960-47-12	1994-83-12	下海	4.0	[4, 4]
1987-90-12	1988-89-12	下海	2.0	[2, 2]
1958-2-12	1988-89-12	下海	2.0	[2, 2]
1958-2-12	1987-90-12	下海	3.0	[3, 3]
1960-47-12	1961-34-12	下海	3.0	[3, 3]
1960-47-12	1961-42-12	下海	3.0	[3, 3]
1960-47-12	1965-19-12	下海	4.0	[4, 4]
1987-90-12	1994-73-12	下海	3.0	[3, 3]
1960-47-12	1966-14-12	下海	4.0	[4, 4]
1987-90-12	1994-83-12	下海	4.0	[4, 4]
1987-90-12	2000-63-12	下海	3.0	[3, 3]
1965-19-12	1980-88-12	下海	4.0	[4, 4]
1960-47-12	1966-5-12	下海	4.0	[4, 4]
1960-47-12	1972-44-12	下海	4.0	[4, 4]
1960-47-12	1980-88-12	下海	4.0	[4, 4]
1960-47-12	1988-89-12	下海	2.0	[2, 2]
1960-47-12	1994-64-12	下海	2.0	[2, 2]
1960-47-12	1994-73-12	下海	3.0	[3, 3]
1961-42-12	1993-92-12	下海	2.0	[2, 2]
1972-44-12	2000-63-12	下海	3.0	[3, 3]
1965-19-12	1966-5-12	下海	4.0	[4, 4]
1958-26-12	1986-60-12	下海	4.0	[4, 4]
1961-42-12	1986-60-12	下海	4.0	[4, 4]
1958-26-12	1980-88-12	下海	3.0	[3, 3]
1999-81-12	2000-63-12	下海	2.0	[2, 2]
1999-81-12	2003-96-12	下海	4.0	[4, 4]
1958-2-12	1993-92-12	下海	2.0	[2, 2]
1958-26-12	1988-89-12	下海	2.0	[2, 2]
1961-42-12	1988-89-12	下海	2.0	[2, 2]
1958-2-12	1994-73-12	下海	4.0	[4, 4]
1958-2-12	1994-83-12	下海	3.0	[3, 3]
1958-2-12	1996-69-12	下海	3.0	[3, 3]
1958-2-12	1998-79-12	下海	2.0	[2, 2]
1996-69-12	1999-81-12	下海	2.0	[2, 2]
1958-4-12	1994-73-12	下海	4.0	[4, 4]
1996-69-12	1998-79-12	下海	2.0	[2, 2]
1958-2-12	1994-82-12	下海	2.0	[2, 2]
1958-2-12	1965-19-12	下海	3.0	[3, 3]
1958-2-12	1993-71-12	下海	2.0	[2, 2]
1958-2-12	1966-5-12	下海	3.0	[3, 3]
1998-79-12	2000-63-12	下海	2.0	[2, 2]
1998-79-12	1999-81-12	下海	4.0	[4, 4]
1961-42-12	2000-63-12	下海	4.0	[4, 4]
1961-42-12	1999-81-12	下海	2.0	[2, 2]
1961-42-12	1993-71-12	下海	2.0	[2, 2]
1958-26-12	1987-90-12	下海	3.0	[3, 3]
1961-42-12	1996-70-12	下海	2.0	[2, 2]
1958-2-12	1966-14-12	下海	3.0	[3, 3]
1960-47-12	1996-70-12	下海	2.0	[2, 2]
1960-47-12	1996-84-12	下海	4.0	[4, 4]
1960-47-12	1999-81-12	下海	2.0	[2, 2]
1960-47-12	2000-63-12	下海	3.0	[3, 3]
1958-2-12	1986-60-12	下海	4.0	[4, 4]
1958-2-12	1980-88-12	下海	3.0	[3, 3]
1958-2-12	1972-44-12	下海	3.0	[3, 3]
1965-19-12	1972-44-12	下海	4.0	[4, 4]
1989-72-16	2003-93-16	体系	4.0	[4, 4]
1957-18-16	1958-25-16	体系	4.0	[4, 4]
1989-72-16	2002-53-16	体系	4.0	[4, 4]
1989-72-16	1999-94-16	体系	4.0	[4, 4]
1958-44-16	1963-24-16	体系	4.0	[4, 4]
1958-44-16	1964-37-16	体系	4.0	[4, 4]
1958-44-16	1963-43-16	体系	4.0	[4, 4]
1958-44-16	1964-28-16	体系	4.0	[4, 4]
1989-72-16	2003-75-16	体系	4.0	[4, 4]
1980-50-16	1999-52-16	体系	4.0	[4, 4]
1980-50-16	2003-93-16	体系	4.0	[4, 4]
1980-50-16	1999-62-16	体系	4.0	[4, 4]
1980-50-16	1982-77-16	体系	4.0	[4, 4]
1980-50-16	1999-80-16	体系	4.0	[4, 4]
1969-27-16	1990-73-16	体系	4.0	[4, 4]
1980-50-16	1998-99-16	体系	4.0	[4, 4]
1980-50-16	1998-71-16	体系	4.0	[4, 4]
1959-45-16	1963-24-16	体系	4.0	[4, 4]
1959-45-16	1960-10-16	体系	4.0	[4, 4]
1959-45-16	1959-9-16	体系	4.0	[4, 4]
1969-27-16	1992-82-16	体系	4.0	[4, 4]
1969-27-16	1993-84-16	体系	4.0	[4, 4]
1969-27-16	1994-66-16	体系	4.0	[4, 4]
1980-50-16	1999-94-16	体系	4.0	[4, 4]
1959-45-16	1963-43-16	体系	4.0	[4, 4]
1959-45-16	1964-28-16	体系	4.0	[4, 4]
1959-45-16	1964-48-16	体系	4.0	[4, 4]
1959-45-16	1959-6-16	体系	4.0	[4, 4]
1958-44-16	1969-27-16	体系	4.0	[4, 4]
1958-44-16	1964-48-16	体系	4.0	[4, 4]
1980-50-16	2002-53-16	体系	4.0	[4, 4]
1980-50-16	2003-75-16	体系	4.0	[4, 4]
1969-27-16	1995-97-16	体系	4.0	[4, 4]
1989-72-16	1998-61-16	体系	4.0	[4, 4]
1958-44-16	1959-45-16	体系	4.0	[4, 4]
1958-44-16	1990-73-16	体系	4.0	[4, 4]
1959-9-16	1964-28-16	体系	4.0	[4, 4]
1959-9-16	1964-37-16	体系	4.0	[4, 4]
1959-9-16	1964-48-16	体系	4.0	[4, 4]
1959-9-16	1969-27-16	体系	4.0	[4, 4]
1959-9-16	1973-7-16	体系	4.0	[4, 4]
1959-9-16	1980-50-16	体系	4.0	[4, 4]
1989-72-16	1990-73-16	体系	4.0	[4, 4]
1959-9-16	1987-51-16	体系	4.0	[4, 4]
1959-9-16	1990-73-16	体系	4.0	[4, 4]
1959-9-16	1992-82-16	体系	4.0	[4, 4]
1959-9-16	1993-84-16	体系	4.0	[4, 4]
1959-9-16	1994-66-16	体系	4.0	[4, 4]
1959-9-16	1995-97-16	体系	4.0	[4, 4]
1959-9-16	1996-78-16	体系	4.0	[4, 4]
1959-9-16	1989-72-16	体系	4.0	[4, 4]
1989-72-16	1992-82-16	体系	4.0	[4, 4]
1989-72-16	1993-84-16	体系	4.0	[4, 4]
1989-72-16	1994-66-16	体系	4.0	[4, 4]
1989-72-16	1996-78-16	体系	4.0	[4, 4]
1999-62-16	2003-93-16	体系	4.0	[4, 4]
1999-62-16	2003-75-16	体系	4.0	[4, 4]
1999-62-16	2002-53-16	体系	4.0	[4, 4]
1999-62-16	1999-94-16	体系	4.0	[4, 4]
1980-50-16	1998-61-16	体系	4.0	[4, 4]
1980-50-16	1996-78-16	体系	4.0	[4, 4]
1959-9-16	1960-10-16	体系	4.0	[4, 4]
1959-9-16	1963-24-16	体系	4.0	[4, 4]
1959-9-16	1963-43-16	体系	4.0	[4, 4]
1989-72-16	1995-97-16	体系	4.0	[4, 4]
1989-72-16	1998-99-16	体系	4.0	[4, 4]
1989-72-16	1999-52-16	体系	4.0	[4, 4]
1989-72-16	1999-62-16	体系	4.0	[4, 4]
1989-72-16	1999-80-16	体系	4.0	[4, 4]
1959-9-16	1998-61-16	体系	4.0	[4, 4]
1958-44-16	1992-82-16	体系	4.0	[4, 4]
1959-9-16	1998-71-16	体系	4.0	[4, 4]
1959-9-16	1999-52-16	体系	4.0	[4, 4]
1959-9-16	2003-75-16	体系	4.0	[4, 4]
1959-9-16	2003-93-16	体系	4.0	[4, 4]
1958-44-16	1960-10-16	体系	4.0	[4, 4]
1980-50-16	1987-51-16	体系	4.0	[4, 4]
1963-43-16	1992-82-16	体系	4.0	[4, 4]
1958-44-16	1959-9-16	体系	4.0	[4, 4]
1980-50-16	1989-72-16	体系	4.0	[4, 4]
1958-44-16	1959-6-16	体系	4.0	[4, 4]
1958-44-16	1959-33-16	体系	4.0	[4, 4]
1958-44-16	1958-5-16	体系	4.0	[4, 4]
1958-44-16	1980-50-16	体系	4.0	[4, 4]
1958-44-16	1982-77-16	体系	4.0	[4, 4]
1958-44-16	1987-51-16	体系	4.0	[4, 4]
1958-44-16	1989-72-16	体系	4.0	[4, 4]
1989-72-16	1998-71-16	体系	4.0	[4, 4]
1980-50-16	1990-73-16	体系	4.0	[4, 4]
1980-50-16	1992-82-16	体系	4.0	[4, 4]
1980-50-16	1993-84-16	体系	4.0	[4, 4]
1959-9-16	1999-62-16	体系	4.0	[4, 4]
1959-9-16	1999-80-16	体系	4.0	[4, 4]
1959-9-16	1999-94-16	体系	4.0	[4, 4]
1959-9-16	2002-53-16	体系	4.0	[4, 4]
1963-43-16	1964-28-16	体系	4.0	[4, 4]
1963-43-16	1964-37-16	体系	4.0	[4, 4]
1963-43-16	1964-48-16	体系	4.0	[4, 4]
1963-43-16	1969-27-16	体系	4.0	[4, 4]
1963-43-16	1973-7-16	体系	4.0	[4, 4]
1963-43-16	1980-50-16	体系	4.0	[4, 4]
1963-43-16	1982-77-16	体系	4.0	[4, 4]
1963-43-16	1987-51-16	体系	4.0	[4, 4]
1963-43-16	1989-72-16	体系	4.0	[4, 4]
1963-43-16	1990-73-16	体系	4.0	[4, 4]
